length,loss,accuracy
330.0,0.06358933448791504,1.0
850.0,0.2053888738155365,1.0
909.0,0.006221847143024206,1.0
987.0,0.15658767521381378,1.0
3634.0,0.615174412727356,0.0
778.0,0.01367777120321989,1.0
1558.0,0.029513586312532425,1.0
2765.0,0.055540841072797775,1.0
2317.0,0.2501972019672394,0.0
2628.0,0.015774186700582504,1.0
1354.0,0.5133152604103088,0.0
1525.0,0.0018432311480864882,1.0
342.0,0.002490824554115534,1.0
697.0,0.12967590987682343,1.0
1449.0,0.23598724603652954,1.0
3000.0,0.37132692337036133,0.0
669.0,0.024425361305475235,1.0
2179.0,0.20483295619487762,1.0
1231.0,0.028173597529530525,1.0
1552.0,0.2340586632490158,1.0
2078.0,0.16709662973880768,1.0
1935.0,0.006880959030240774,1.0
2628.0,0.5063303709030151,0.0
773.0,0.12064523249864578,1.0
807.0,0.0389571487903595,1.0
1498.0,0.5805689096450806,0.0
129.0,0.03185458853840828,1.0
778.0,0.0113341324031353,1.0
1928.0,0.4482201039791107,0.0
649.0,0.5411326885223389,0.0
3201.0,0.18324990570545197,1.0
1148.0,0.1018705889582634,1.0
2710.0,0.21688517928123474,1.0
463.0,0.27521783113479614,0.0
949.0,0.7257022261619568,0.0
2566.0,0.17516650259494781,1.0
669.0,0.03705534338951111,1.0
855.0,0.6501609683036804,0.0
241.0,0.001699673943221569,1.0
1248.0,0.0671021044254303,1.0
344.0,0.12856827676296234,1.0
1861.0,0.22949402034282684,1.0
1642.0,0.16640208661556244,1.0
717.0,0.01992986723780632,1.0
748.0,0.0383475162088871,1.0
618.0,0.0011424887925386429,1.0
1018.0,0.30771663784980774,0.0
500.0,0.7333043813705444,0.0
914.0,0.03741462528705597,1.0
766.0,0.11523134261369705,1.0
1785.0,0.15899531543254852,1.0
3096.0,0.13967269659042358,1.0
842.0,0.140805184841156,1.0
676.0,0.36368799209594727,0.0
1135.0,0.03447727486491203,1.0
1851.0,0.27093589305877686,0.0
1546.0,0.011303858831524849,1.0
3107.0,0.19119243323802948,1.0
1924.0,0.2685357332229614,0.0
1361.0,0.2555970549583435,0.0
706.0,0.38899660110473633,0.0
429.0,0.09797011315822601,1.0
1296.0,0.015428035520017147,1.0
331.0,0.47300446033477783,0.0
2924.0,0.12021701782941818,1.0
848.0,0.4287478029727936,0.0
946.0,0.017324449494481087,1.0
1837.0,0.48586785793304443,0.0
397.0,0.6316727995872498,0.0
533.0,0.025272024795413017,1.0
2961.0,0.27007049322128296,0.0
879.0,0.2299419641494751,1.0
1105.0,0.07311957329511642,1.0
537.0,0.10794534534215927,1.0
702.0,0.8219243288040161,0.0
5835.0,0.0037122704088687897,1.0
1259.0,0.024598607793450356,1.0
915.0,0.02330045774579048,1.0
968.0,0.11011436581611633,1.0
2097.0,0.1746596395969391,1.0
1879.0,0.19509966671466827,1.0
785.0,0.2921465337276459,0.0
2017.0,0.5725733041763306,0.0
1721.0,0.056838758289813995,1.0
811.0,0.2301313579082489,1.0
657.0,0.045250605791807175,1.0
2271.0,0.24581772089004517,1.0
1911.0,0.6339136958122253,0.0
432.0,0.001124744419939816,1.0
729.0,0.12757577002048492,1.0
1631.0,0.03144706040620804,1.0
1294.0,0.034639470279216766,1.0
976.0,0.09137968719005585,1.0
966.0,0.12309537827968597,1.0
169.0,2.456082438584417e-05,1.0
1041.0,0.02381828799843788,1.0
713.0,0.41932761669158936,0.0
874.0,0.023619933053851128,1.0
5196.0,0.132547527551651,1.0
664.0,0.0036047797184437513,1.0
1392.0,0.16087964177131653,1.0
755.0,0.007148444186896086,1.0
1072.0,0.05793669447302818,1.0
1657.0,0.48713603615760803,0.0
1370.0,0.25281089544296265,0.0
1637.0,0.6747934222221375,0.0
