length,loss,accuracy
884.0,0.0203759353607893,1.0
3729.0,0.08259227126836777,1.0
2194.0,0.005780233535915613,1.0
4380.0,0.020698189735412598,1.0
781.0,0.13592426478862762,1.0
396.0,0.01767704449594021,1.0
539.0,0.009540364146232605,1.0
792.0,0.002603438450023532,1.0
2755.0,0.09856919199228287,1.0
3320.0,0.6423753499984741,0.0
1849.0,0.28259214758872986,0.0
1367.0,0.0523684099316597,1.0
2965.0,0.4739778935909271,0.0
5124.0,0.15905722975730896,1.0
841.0,0.3693452775478363,0.0
5861.0,0.3525216579437256,0.0
1824.0,0.03461010381579399,1.0
4195.0,0.061861149966716766,1.0
1003.0,0.5897278785705566,0.0
2790.0,0.15013772249221802,1.0
612.0,0.017529580742120743,1.0
1431.0,0.1494615077972412,1.0
1274.0,0.23567168414592743,1.0
684.0,0.054447706788778305,1.0
1270.0,0.13208140432834625,1.0
1048.0,0.030623862519860268,1.0
1034.0,0.6193437576293945,0.0
952.0,0.38170474767684937,0.0
877.0,0.006290736608207226,1.0
850.0,0.05705791339278221,1.0
1851.0,0.048444051295518875,1.0
683.0,0.015391343273222446,1.0
4747.0,0.514892578125,0.0
729.0,0.1620369851589203,1.0
570.0,0.008805274963378906,1.0
638.0,0.12380922585725784,1.0
753.0,0.4580138027667999,0.0
1294.0,0.48184311389923096,0.0
1012.0,0.10047632455825806,1.0
1909.0,0.14502011239528656,1.0
5847.0,0.030454302206635475,1.0
727.0,0.34434351325035095,0.0
1669.0,0.017844492569565773,1.0
2396.0,0.7918022871017456,0.0
436.0,0.03805582597851753,1.0
1166.0,0.13317833840847015,1.0
765.0,0.16620831191539764,1.0
900.0,0.07673653215169907,1.0
1277.0,0.03624303638935089,1.0
1229.0,0.4155181050300598,0.0
1120.0,0.6469199061393738,0.0
980.0,0.6629290580749512,0.0
693.0,0.013306215405464172,1.0
1311.0,0.007059440948069096,1.0
1163.0,0.6419650316238403,0.0
2294.0,0.5098375082015991,0.0
2258.0,0.09627708047628403,1.0
684.0,0.7265968322753906,0.0
865.0,0.06441029906272888,1.0
1377.0,0.01351273711770773,1.0
733.0,0.5624100565910339,0.0
981.0,0.0031310033518821,1.0
1607.0,0.13264042139053345,1.0
269.0,0.0017043091356754303,1.0
1298.0,0.17403820157051086,1.0
933.0,0.1380077451467514,1.0
2792.0,0.130347341299057,1.0
1353.0,0.07407057285308838,1.0
721.0,0.01823302172124386,1.0
1550.0,0.00944315455853939,1.0
782.0,0.14034172892570496,1.0
1596.0,0.687836766242981,0.0
187.0,0.05220228433609009,1.0
