length,loss,accuracy
884.0,0.034690599888563156,1.0
3729.0,0.22020523250102997,1.0
2194.0,0.030491333454847336,1.0
4380.0,0.05409860238432884,1.0
781.0,0.19551828503608704,1.0
396.0,0.042171839624643326,1.0
539.0,0.007823384366929531,1.0
792.0,0.005818437784910202,1.0
2755.0,0.23433144390583038,1.0
3320.0,0.438682496547699,0.0
1849.0,0.5402420163154602,0.0
1367.0,0.1053202822804451,1.0
2965.0,0.27831992506980896,0.0
5124.0,0.2080782800912857,1.0
841.0,0.3766161799430847,0.0
5861.0,0.21788235008716583,1.0
1824.0,0.07988379150629044,1.0
4195.0,0.08619451522827148,1.0
1003.0,0.4316442310810089,0.0
2790.0,0.22874538600444794,1.0
612.0,0.012408952228724957,1.0
1431.0,0.37453800439834595,0.0
1274.0,0.48987364768981934,0.0
684.0,0.044245634227991104,1.0
1270.0,0.18097025156021118,1.0
1048.0,0.008066496811807156,1.0
1034.0,0.7259189486503601,0.0
952.0,0.645163357257843,0.0
877.0,0.004843519069254398,1.0
850.0,0.1382751762866974,1.0
1851.0,0.18066342175006866,1.0
683.0,0.15879222750663757,1.0
4747.0,0.16501030325889587,1.0
729.0,0.36532145738601685,0.0
570.0,0.006208663806319237,1.0
638.0,0.2741739749908447,0.0
753.0,0.1019170880317688,1.0
1294.0,0.20545364916324615,1.0
1012.0,0.07555855065584183,1.0
1909.0,0.24476897716522217,1.0
5847.0,0.09132031351327896,1.0
727.0,0.11420129239559174,1.0
1669.0,0.15214015543460846,1.0
2396.0,0.573700487613678,0.0
436.0,0.03280710056424141,1.0
1166.0,0.4693259298801422,0.0
765.0,0.29569607973098755,0.0
900.0,0.2776314616203308,0.0
1277.0,0.08761946111917496,1.0
1229.0,0.23908598721027374,1.0
1120.0,0.8284100890159607,0.0
980.0,0.2902986407279968,0.0
693.0,0.0019739363342523575,1.0
1311.0,0.014216999523341656,1.0
1163.0,0.708017110824585,0.0
2294.0,0.29490265250205994,0.0
2258.0,0.33045515418052673,0.0
684.0,0.921303927898407,0.0
865.0,0.13494668900966644,1.0
1377.0,0.03643486648797989,1.0
733.0,0.21244068443775177,1.0
981.0,0.017216725274920464,1.0
1607.0,0.05446965619921684,1.0
269.0,0.0021571291144937277,1.0
1298.0,0.13214117288589478,1.0
933.0,0.39387354254722595,0.0
2792.0,0.10899575799703598,1.0
1353.0,0.059833038598299026,1.0
721.0,0.04096865653991699,1.0
1550.0,0.005737408995628357,1.0
782.0,0.04397360980510712,1.0
1596.0,0.6679993271827698,0.0
187.0,0.011066974140703678,1.0
