length,loss,accuracy
1108.0,0.053921833634376526,1.0
923.0,0.2125355303287506,1.0
711.0,0.09159523993730545,1.0
734.0,0.4511571228504181,0.0
1756.0,0.0009160934714600444,1.0
847.0,0.09486757963895798,1.0
4027.0,0.0353534109890461,1.0
5449.0,0.019634967669844627,1.0
239.0,0.07627741992473602,1.0
690.0,0.028051549568772316,1.0
872.0,0.7024413347244263,0.0
1220.0,0.8205563426017761,0.0
828.0,0.7138440608978271,0.0
714.0,0.03681033477187157,1.0
808.0,0.24818366765975952,1.0
763.0,0.12600673735141754,1.0
1488.0,0.715605616569519,0.0
594.0,0.298885315656662,0.0
894.0,0.24847157299518585,1.0
2448.0,0.3096500039100647,0.0
1236.0,0.40701502561569214,0.0
216.0,0.06719088554382324,1.0
911.0,0.007120300084352493,1.0
785.0,0.4557174742221832,0.0
1370.0,0.03844835236668587,1.0
1330.0,0.8777347207069397,0.0
536.0,0.0863412395119667,1.0
688.0,0.02806178852915764,1.0
691.0,0.1603965312242508,1.0
811.0,0.3902716338634491,0.0
825.0,0.6184360384941101,0.0
1189.0,0.1342604011297226,1.0
1768.0,0.03644832223653793,1.0
705.0,0.00038201941060833633,1.0
633.0,0.058602042496204376,1.0
660.0,0.028782807290554047,1.0
770.0,0.5203244090080261,0.0
908.0,0.005717100575566292,1.0
904.0,0.011318186298012733,1.0
774.0,0.10317396372556686,1.0
286.0,0.0006056646234355867,1.0
1410.0,0.7976091504096985,0.0
1788.0,0.028938908129930496,1.0
913.0,0.06809216737747192,1.0
1869.0,0.7117099165916443,0.0
2368.0,0.3056553900241852,0.0
890.0,0.4904198944568634,0.0
783.0,0.05294813960790634,1.0
603.0,0.026161935180425644,1.0
1493.0,0.3048686385154724,0.0
422.0,0.0026826628018170595,1.0
1763.0,0.012556171976029873,1.0
962.0,0.083989217877388,1.0
1214.0,0.450937420129776,0.0
1157.0,0.0055840821005403996,1.0
1312.0,0.007521878927946091,1.0
1037.0,0.5392601490020752,0.0
1528.0,0.36029133200645447,0.0
488.0,0.12848524749279022,1.0
523.0,0.02485513687133789,1.0
893.0,0.4479638636112213,0.0
523.0,0.7697121500968933,0.0
1186.0,0.01769893430173397,1.0
680.0,0.395796000957489,0.0
1531.0,0.28067800402641296,0.0
983.0,0.06202356889843941,1.0
2112.0,0.7979938387870789,0.0
3991.0,0.051553625613451004,1.0
249.0,0.08278324455022812,1.0
654.0,0.0025575985200703144,1.0
1353.0,0.26809582114219666,0.0
1230.0,0.12258616834878922,1.0
252.0,0.31647807359695435,0.0
966.0,0.0004755491390824318,1.0
1304.0,0.020576365292072296,1.0
1279.0,0.010957919992506504,1.0
497.0,0.20690561830997467,1.0
683.0,0.026319360360503197,1.0
921.0,0.01978905498981476,1.0
2598.0,0.8020659685134888,0.0
619.0,0.10822446644306183,1.0
1616.0,0.02121974714100361,1.0
1240.0,0.5163770914077759,0.0
992.0,0.6503663063049316,0.0
2474.0,0.15436159074306488,1.0
2558.0,0.026188252493739128,1.0
