length,loss,accuracy
656.0,0.11599346995353699,1.0
1963.0,0.4078194797039032,0.0
654.0,0.3240775763988495,0.0
1459.0,0.043129343539476395,1.0
4218.0,0.07199477404356003,1.0
962.0,0.08870511502027512,1.0
935.0,0.3595947325229645,0.0
1616.0,0.07158488035202026,1.0
1582.0,0.04239703714847565,1.0
1858.0,0.29338690638542175,0.0
516.0,0.04070171341300011,1.0
1856.0,0.20528878271579742,1.0
539.0,0.36093154549598694,0.0
359.0,0.601793646812439,0.0
268.0,0.4027358889579773,0.0
835.0,0.007070325314998627,1.0
610.0,0.03064112737774849,1.0
4766.0,0.03995705023407936,1.0
1522.0,0.04514455795288086,1.0
804.0,0.02605193294584751,1.0
918.0,0.00511873047798872,1.0
722.0,0.12951084971427917,1.0
1159.0,0.08898632228374481,1.0
398.0,0.381897896528244,0.0
811.0,0.11849010735750198,1.0
769.0,0.09624268114566803,1.0
1138.0,0.12337274849414825,1.0
2386.0,0.07922536134719849,1.0
253.0,0.05303735285997391,1.0
2002.0,0.23997490108013153,1.0
837.0,0.03677166625857353,1.0
439.0,0.06931833922863007,1.0
918.0,0.09740447252988815,1.0
841.0,0.2294781506061554,1.0
709.0,0.01350471843034029,1.0
2826.0,0.4965568780899048,0.0
796.0,0.037679243832826614,1.0
1400.0,0.05296385660767555,1.0
728.0,0.04896599054336548,1.0
753.0,0.0716196820139885,1.0
1485.0,0.14027784764766693,1.0
2859.0,0.23841647803783417,1.0
986.0,0.20859701931476593,1.0
1511.0,0.11599484831094742,1.0
398.0,0.05474629998207092,1.0
1076.0,0.009694117121398449,1.0
2032.0,0.018886679783463478,1.0
2372.0,0.09426683187484741,1.0
3705.0,0.1339304894208908,1.0
895.0,0.23003527522087097,1.0
944.0,0.07901112735271454,1.0
614.0,0.02428594045341015,1.0
947.0,0.30818355083465576,0.0
681.0,0.08715073764324188,1.0
2160.0,0.0604761503636837,1.0
840.0,0.19681009650230408,1.0
4904.0,0.1840282827615738,1.0
2778.0,0.1375517100095749,1.0
322.0,0.03447377681732178,1.0
3801.0,0.03991420939564705,1.0
182.0,0.0010112306335940957,1.0
946.0,0.5318710207939148,0.0
386.0,0.2008860558271408,1.0
947.0,0.10971584916114807,1.0
210.0,0.26812002062797546,0.0
1063.0,0.268940269947052,0.0
931.0,0.2929588556289673,0.0
704.0,0.04378620162606239,1.0
559.0,0.01431693322956562,1.0
3390.0,0.15187513828277588,1.0
2492.0,0.13992638885974884,1.0
3349.0,0.14165456593036652,1.0
1530.0,0.03818449005484581,1.0
1099.0,0.17374689877033234,1.0
1335.0,0.04416815936565399,1.0
966.0,0.2488771229982376,1.0
2008.0,0.3130837678909302,0.0
878.0,0.28035321831703186,0.0
1133.0,0.2866128087043762,0.0
954.0,0.12539507448673248,1.0
684.0,0.8571087718009949,0.0
323.0,0.003197292098775506,1.0
2190.0,0.04204554855823517,1.0
909.0,0.021750036627054214,1.0
710.0,0.22516950964927673,1.0
388.0,0.016312161460518837,1.0
1477.0,0.061482906341552734,1.0
740.0,0.027499252930283546,1.0
1896.0,0.21343927085399628,1.0
279.0,0.010362334549427032,1.0
3321.0,0.08207974582910538,1.0
3384.0,0.21786855161190033,1.0
2095.0,0.3729771375656128,0.0
1300.0,0.030825791880488396,1.0
902.0,0.0345262810587883,1.0
3258.0,0.10943201184272766,1.0
687.0,0.6717506051063538,0.0
1349.0,0.12505926191806793,1.0
704.0,0.14649084210395813,1.0
4771.0,0.13340795040130615,1.0
2848.0,0.4255845546722412,0.0
518.0,0.019779350608587265,1.0
5129.0,0.03803079575300217,1.0
771.0,0.07807954400777817,1.0
2328.0,0.5002750754356384,0.0
658.0,0.16068215668201447,1.0
2377.0,0.12125571072101593,1.0
