length,loss,accuracy
884.0,0.053329795598983765,1.0
3729.0,0.25005990266799927,0.0
2194.0,0.01951795443892479,1.0
4380.0,0.026293162256479263,1.0
781.0,0.4349106252193451,0.0
396.0,0.01860971562564373,1.0
539.0,0.007132478058338165,1.0
792.0,0.0016952144214883447,1.0
2755.0,0.12452486157417297,1.0
3320.0,0.5796545147895813,0.0
1849.0,0.33355793356895447,0.0
1367.0,0.024495229125022888,1.0
2965.0,0.34250524640083313,0.0
5124.0,0.2747981548309326,0.0
841.0,0.2239658683538437,1.0
5861.0,0.30096152424812317,0.0
1824.0,0.16299548745155334,1.0
4195.0,0.01876390352845192,1.0
1003.0,0.7079834938049316,0.0
2790.0,0.11885621398687363,1.0
612.0,0.006480116862803698,1.0
1431.0,0.2491493672132492,1.0
1274.0,0.5167779326438904,0.0
684.0,0.02918979711830616,1.0
1270.0,0.27105027437210083,0.0
1048.0,0.03798593580722809,1.0
1034.0,0.7740258574485779,0.0
952.0,0.4867728352546692,0.0
877.0,0.017728008329868317,1.0
850.0,0.20542709529399872,1.0
1851.0,0.13056109845638275,1.0
683.0,0.04881247133016586,1.0
4747.0,0.2525615394115448,0.0
729.0,0.3115937113761902,0.0
570.0,0.004650970455259085,1.0
638.0,0.2703397274017334,0.0
753.0,0.16414985060691833,1.0
1294.0,0.3791902959346771,0.0
1012.0,0.06794552505016327,1.0
1909.0,0.24117814004421234,1.0
5847.0,0.021689461544156075,1.0
727.0,0.09727756679058075,1.0
1669.0,0.0316048339009285,1.0
2396.0,0.7812513709068298,0.0
436.0,0.023691892623901367,1.0
1166.0,0.22999393939971924,1.0
765.0,0.197885662317276,1.0
900.0,0.2611577808856964,0.0
1277.0,0.179324209690094,1.0
1229.0,0.580654501914978,0.0
1120.0,0.5846700072288513,0.0
980.0,0.6541547179222107,0.0
693.0,0.003927520476281643,1.0
1311.0,0.012652372010052204,1.0
1163.0,0.7027027010917664,0.0
2294.0,0.39625978469848633,0.0
2258.0,0.2373378425836563,1.0
684.0,0.792679488658905,0.0
